MonitoringLocationIdentifier,State,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure
USGS-12303498,Montana,"Lake Creek at reservoir nr Troy, MT",Stream,48.4385,-115.87
USGS-12304750,Montana,Kootenai River Below Pine Creek,Stream,48.5918,-116.003
USGS-4828121155315,Montana,"Kootenai R near Troy, MT",Stream,48.4701361,-115.887486
USGS-05014300,Montana,Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier,Stream,48.7954444,-113.6805833
USGS-06031450,Montana,Boulder River ab Kleinsmith Gulch nr Basin MT,Stream,46.269651,-112.2794548
USGS-06031600,Montana,Basin Creek at Basin MT,Stream,46.2710399,-112.2625093
USGS-06031960,Montana,Cataract Creek at Basin MT,Stream,46.27131769,-112.2419524
USGS-06032400,Montana,Boulder River bl Little Galena Gulch nr Boulder MT,Stream,46.2493727,-112.1750037
USGS-06036905,Wyoming,Firehole River near West Yellowstone MT,Stream,44.6201833,-110.8635028
USGS-06075785,Montana,SF Smith R at McGuire Bdg nr White Sulphur Springs,Stream,46.52327426,-110.9563249
USGS-06075900,Montana,Big Birch C at Mouth nr White Sulphur Springs MT,Stream,46.5868872,-111.054665
USGS-06076550,Montana,Newlan C at Mouth nr White Sulpher Springs MT,Stream,46.59188755,-111.0491093
USGS-06076560,Montana,Smith River bl Newlan Cr nr White Sulphur Springs,Stream,46.59105,-111.0576861
USGS-06076580,Montana,Smith R at Bodell Ranch Bridge nr WSSprings MT,Stream,46.63244447,-111.0916123
USGS-06076590,Montana,Camas C nr Mouth nr White Sulphur Springs MT,Stream,46.6784861,-111.1939194
USGS-06076600,Montana,"Camas Cr at mouth, nr White Sulphur Springs, MT",Stream,46.7033611,-111.192225
USGS-06094500,Montana,Birch Cr at Swift Dam nr Dupuyer MT,Stream,48.1654833,-112.869025
USGS-06094900,Montana,"Birch Cr bl Heart Butte Road, nr Heart Butte, MT",Stream,48.24466667,-112.6979167
