OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-ID,USGS Idaho Water Science Center,USGS-12303498,"Lake Creek at reservoir nr Troy, MT",Stream,,17010101,,,,,48.43850000000000,-115.8700000000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2062,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-12304750,Kootenai River Below Pine Creek,Stream,,17010104,,,,,48.59180000000000,-116.0030000000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1815,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-4828121155315,"Kootenai R near Troy, MT",Stream,,17010101,,,,,48.47013610000000,-115.8874860000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1867,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-05014300,Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier,Stream,,09040001,15.8,sq mi,,,48.79544440000000,-113.6805833000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4920,feet,20,feet,Interpolated from topographic map.,NAVD88,US,30,035,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06031450,Boulder River ab Kleinsmith Gulch nr Basin MT,Stream,,10020006,218,sq mi,,,46.26965100000000,-112.2794548000000,24000,5,seconds,Interpolated from MAP.,NAD83,5380,feet,40,feet,Interpolated from topographic map.,NGVD29,US,30,043,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06031600,Basin Creek at Basin MT,Stream,,10020006,41.1,sq mi,,,46.27103990000000,-112.2625093000000,24000,5,seconds,Interpolated from MAP.,NAD83,5340,feet,40,feet,Interpolated from topographic map.,NGVD29,US,30,043,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06031960,Cataract Creek at Basin MT,Stream,,10020006,29.3,sq mi,,,46.27131769000000,-112.2419524000000,24000,5,seconds,Interpolated from MAP.,NAD83,5270,feet,40,feet,Interpolated from topographic map.,NGVD29,US,30,043,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06032400,Boulder River bl Little Galena Gulch nr Boulder MT,Stream,,10020006,318,sq mi,,,46.24937270000000,-112.1750037000000,24000,5,seconds,Interpolated from MAP.,NAD83,5020,feet,40,feet,Interpolated from topographic map.,NGVD29,US,30,043,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06036905,Firehole River near West Yellowstone MT,Stream,,10020007,261,sq mi,,,44.62018330000000,-110.8635028000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,7050,feet,10,feet,Interpolated from topographic map.,NAVD88,US,56,029,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06075785,SF Smith R at McGuire Bdg nr White Sulphur Springs,Stream,,10030103,157.7,sq mi,,,46.52327426000000,-110.9563249000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4915,feet,10,feet,Global Positioning System.,NGVD29,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06075900,Big Birch C at Mouth nr White Sulphur Springs MT,Stream,,10030103,49.6,sq mi,,,46.58688720000000,-111.0546650000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06076550,Newlan C at Mouth nr White Sulpher Springs MT,Stream,,10030103,57.6,sq mi,,,46.59188755000000,-111.0491093000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,4810,feet,10,feet,Interpolated from topographic map.,NGVD29,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06076560,Smith River bl Newlan Cr nr White Sulphur Springs,Stream,,10030103,517,sq mi,,,46.59105000000000,-111.0576861000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4785,feet,5,feet,Interpolated from topographic map.,NGVD29,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06076580,Smith R at Bodell Ranch Bridge nr WSSprings MT,Stream,,10030103,,,,,46.63244447000000,-111.0916123000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4665,feet,10,feet,Interpolated from topographic map.,NGVD29,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06076590,Camas C nr Mouth nr White Sulphur Springs MT,Stream,,10030103,59.2,sq mi,,,46.67848610000000,-111.1939194000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,4642,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06076600,"Camas Cr at mouth, nr White Sulphur Springs, MT",Stream,,10030103,61.7,sq mi,,,46.70336110000000,-111.1922250000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,4554,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06076690,Smith River near Ft Logan MT,Stream,,10030103,845,sq mi,,,46.79580000000000,-111.1785556000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4400,feet,1,feet,Interpolated from topographic map.,NGVD29,US,30,059,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06094500,Birch Cr at Swift Dam nr Dupuyer MT,Stream,,10030201,75.7,sq mi,,,48.16548330000000,-112.8690250000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4720,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,073,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06094900,"Birch Cr bl Heart Butte Road, nr Heart Butte, MT",Stream,,10030201,102,sq mi,,,48.24466667000000,-112.6979167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4281,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,073,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06096000,"Birch Creek below B Canal, near Dupuyer, MT",Stream,,10030201,113,sq mi,,,48.24944440000000,-112.6272500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4137,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,073,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06098100,Birch Creek near Valier MT,Stream,,10030201,472,sq mi,,,48.35824440000000,-112.3383333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,3561,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,073,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06098120,"Birch Creek at Bullhead Bridge, nr Valier, MT",Stream,,10030201,481,sq mi,,,48.39110278000000,-112.3196610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3503,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,073,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06110020,Judith River above Carr Creek near Utica MT,Stream,,10040103,319,sq mi,,,46.91772220000000,-110.1889444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4678,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,045,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06142400,Clear Creek near Chinook MT,Stream,,10050004,135,sq mi,,,48.57886940000000,-109.3911306000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,2470,feet,20,feet,Interpolated from topographic map.,NAVD88,US,30,005,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06190540,"Boiling River at Mammoth,YNP",Stream,,10070001,,,,,44.98513330000000,-110.6893444000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,5680,feet,0.1,feet,Interpolated from Digital Elevation Model,NGVD29,US,56,029,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06191000,"Gardner River near Mammoth, YNP",Stream,,10070001,199,sq mi,,,44.99234440000000,-110.6909750000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,5623.97,feet,.01,feet,Level or other surveyed method.,NGVD29,US,30,067,,,,,,,,,,NWIS
