DataSource,SampleID,TotTranLngth_m,SampDate,TAXAID,CommonName,Juvenile,DiamMax_cm,DiamPerp_cm,Height_cm,TotMort_pct,BCG_ATTR,Weedy,LRBC,MorphConvFact,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species
NCRMP,Samp0005,10,12/8/2016,Stephanocoenia intersepta,Blushing star coral,FALSE,43,30,20,75,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Astrocoeniidae,Stephanocoenia,Anthozoa,intersepta
NCRMP,Samp0005,10,12/8/2016,Stephanocoenia intersepta,Blushing star coral,FALSE,14,13,3,90,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Astrocoeniidae,Stephanocoenia,Anthozoa,intersepta
NCRMP,Samp0005,10,12/8/2016,Stephanocoenia intersepta,Blushing star coral,FALSE,9,4,2,85,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Astrocoeniidae,Stephanocoenia,Anthozoa,intersepta
NCRMP,Samp0005,10,12/8/2016,Stephanocoenia intersepta,Blushing star coral,FALSE,6,5,1,0,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Astrocoeniidae,Stephanocoenia,Anthozoa,intersepta
NCRMP,Samp0005,10,12/8/2016,Solenastrea bournoni,Smooth star coral,FALSE,22,10,20,75,5,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Faviidae,Solenastrea,Anthozoa,bournoni
NCRMP,Samp0005,10,12/8/2016,Solenastrea bournoni,Smooth star coral,FALSE,18,12,22,10,5,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Faviidae,Solenastrea,Anthozoa,bournoni
NCRMP,Samp0005,10,12/8/2016,Solenastrea bournoni,Smooth star coral,FALSE,17,15,3,12,5,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Faviidae,Solenastrea,Anthozoa,bournoni
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,55,40,25,17,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,38,36,15,15,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,37,33,22,12,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,29,27,7,5,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,28,27,7,5,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,24,23,5,23,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,23,16,3,18,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,19,13,4,8,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,18,17,6,10,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,18,15,6,25,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,18,15,10,10,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,17,13,4,12,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,17,11,4,45,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,14,14,3,10,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,12,6,1,45,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,12,8,2,15,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
