"SampleID","TAXAID","TotTranLngth_m","Juvenile","DiamMax_cm","DiamPerp_cm","Height_cm","TotMort_pct"
"Samp0005","Stephanocoenia intersepta",10,FALSE,43,30,20,75
"Samp0005","Stephanocoenia intersepta",10,FALSE,14,13,3,90
"Samp0005","Stephanocoenia intersepta",10,FALSE,9,4,2,85
"Samp0005","Stephanocoenia intersepta",10,FALSE,6,5,1,0
"Samp0005","Solenastrea bournoni",10,FALSE,22,10,20,75
"Samp0005","Solenastrea bournoni",10,FALSE,18,12,22,10
"Samp0005","Solenastrea bournoni",10,FALSE,17,15,3,12
"Samp0005","Siderastrea siderea",10,FALSE,55,40,25,17
"Samp0005","Siderastrea siderea",10,FALSE,38,36,15,15
"Samp0005","Siderastrea siderea",10,FALSE,37,33,22,12
"Samp0005","Siderastrea siderea",10,FALSE,29,27,7,5
"Samp0005","Siderastrea siderea",10,FALSE,28,27,7,5
"Samp0005","Siderastrea siderea",10,FALSE,24,23,5,23
"Samp0005","Siderastrea siderea",10,FALSE,23,16,3,18
"Samp0005","Siderastrea siderea",10,FALSE,19,13,4,8
"Samp0005","Siderastrea siderea",10,FALSE,18,17,6,10
"Samp0005","Siderastrea siderea",10,FALSE,18,15,6,25
"Samp0005","Siderastrea siderea",10,FALSE,18,15,10,10
"Samp0005","Siderastrea siderea",10,FALSE,17,13,4,12
"Samp0005","Siderastrea siderea",10,FALSE,17,11,4,45
"Samp0005","Siderastrea siderea",10,FALSE,14,14,3,10
"Samp0005","Siderastrea siderea",10,FALSE,12,6,1,45
"Samp0005","Siderastrea siderea",10,FALSE,12,8,2,15
"Samp0005","Siderastrea siderea",10,FALSE,12,10,2,55
"Samp0005","Siderastrea siderea",10,FALSE,10,9,1,15
"Samp0005","Siderastrea siderea",10,FALSE,10,6,3,35
"Samp0005","Siderastrea siderea",10,FALSE,9,4,7,10
"Samp0005","Siderastrea siderea",10,FALSE,8,7,1,5
"Samp0005","Siderastrea siderea",10,FALSE,8,4,1,15
"Samp0005","Siderastrea siderea",10,FALSE,8,6,1,15
"Samp0005","Siderastrea siderea",10,FALSE,8,6,2,0
"Samp0005","Siderastrea siderea",10,FALSE,8,5,3,5
"Samp0005","Siderastrea siderea",10,FALSE,7,4,1,25
"Samp0005","Siderastrea siderea",10,FALSE,6,5,1,45
"Samp0005","Siderastrea siderea",10,FALSE,6,4,1,0
"Samp0005","Siderastrea siderea",10,FALSE,6,4,2,55
"Samp0005","Siderastrea siderea",10,FALSE,4,4,1,0
"Samp0005","Porites porites",10,FALSE,14,6,7,95
"Samp0005","Porites porites",10,FALSE,6,3,4,35
"Samp0005","Porites porites",10,FALSE,3,3,12,60
"Samp0005","Porites astreoides",10,FALSE,10,8,1,2
"Samp0005","Porites astreoides",10,FALSE,9,5,1,65
"Samp0005","Porites astreoides",10,FALSE,9,6,3,18
"Samp0005","Porites astreoides",10,FALSE,7,3,2,5
"Samp0005","Porites astreoides",10,FALSE,6,4,2,15
"Samp0005","Porites astreoides",10,FALSE,5,2,2,5
"Samp0005","Porites astreoides",10,FALSE,5,3,2,15
"Samp0005","Porites astreoides",10,FALSE,5,5,2,5
"Samp0005","Porites astreoides",10,FALSE,5,5,3,25
"Samp0005","Porites astreoides",10,FALSE,4,4,1,10
"Samp0005","Orbicella faveolata",10,FALSE,27,23,25,7
"Samp0005","Mycetophyllia ferox",10,FALSE,30,22,8,35
"Samp0005","Montastraea cavernosa",10,FALSE,17,15,3,15
"Samp0005","Dichocoenia stokesii",10,FALSE,19,11,3,65
"Samp0005","Agaricia agaricites",10,FALSE,19,8,6,15
"Samp0005","Agaricia agaricites",10,FALSE,9,8,2,15
"Samp0005","Agaricia agaricites",10,FALSE,5,5,1,5
"Samp0005","Agaricia agaricites",10,FALSE,4,4,2,30
"Samp0019","Solenastrea bournoni",10,FALSE,45,38,30,20
"Samp0019","Solenastrea bournoni",10,FALSE,5,3,1,0
"Samp0019","Siderastrea radians",10,FALSE,5,3,2,0
"Samp0019","Siderastrea radians",10,FALSE,4,3,2,0
"Samp0019","Porites astreoides",10,FALSE,22,17,15,35
"Samp0025","Stephanocoenia intersepta",10,FALSE,25,13,12,50
"Samp0025","Stephanocoenia intersepta",10,FALSE,20,12,8,0
"Samp0025","Stephanocoenia intersepta",10,FALSE,13,10,6,0
"Samp0025","Stephanocoenia intersepta",10,FALSE,12,7,8,0
"Samp0025","Stephanocoenia intersepta",10,FALSE,8,5,1,40
"Samp0025","Stephanocoenia intersepta",10,FALSE,5,3,1,0
"Samp0025","Stephanocoenia intersepta",10,FALSE,4,3,3,0
"Samp0025","Siderastrea siderea",10,FALSE,23,11,7,25
"Samp0025","Siderastrea siderea",10,FALSE,20,10,10,70
"Samp0025","Siderastrea siderea",10,FALSE,19,13,12,63
"Samp0025","Siderastrea siderea",10,FALSE,17,12,7,50
"Samp0025","Siderastrea siderea",10,FALSE,14,8,7,20
"Samp0025","Siderastrea siderea",10,FALSE,14,4,7,0
"Samp0025","Siderastrea siderea",10,FALSE,13,4,2,80
"Samp0025","Siderastrea siderea",10,FALSE,10,6,4,20
"Samp0025","Siderastrea siderea",10,FALSE,8,4,2,30
"Samp0025","Siderastrea siderea",10,FALSE,8,4,4,35
"Samp0025","Siderastrea siderea",10,FALSE,6,3,2,20
"Samp0025","Siderastrea siderea",10,FALSE,6,5,3,15
"Samp0025","Siderastrea siderea",10,FALSE,4,2,2,0
"Samp0025","Scolymia cubensis",10,TRUE,3,2,1,0
"Samp0025","Porites porites",10,FALSE,8,4,6,40
"Samp0025","Porites porites",10,FALSE,6,4,2,0
"Samp0025","Porites divaricata",10,FALSE,17,8,10,60
"Samp0025","Porites divaricata",10,FALSE,12,9,9,60
"Samp0025","Porites divaricata",10,FALSE,7,4,9,0
"Samp0025","Porites astreoides",10,FALSE,15,8,10,40
"Samp0025","Porites astreoides",10,FALSE,12,9,13,35
"Samp0025","Porites astreoides",10,FALSE,11,9,8,25
"Samp0025","Porites astreoides",10,FALSE,8,4,5,0
"Samp0025","Porites astreoides",10,FALSE,7,5,5,0
"Samp0025","Porites astreoides",10,FALSE,5,3,3,0
"Samp0025","Porites astreoides",10,FALSE,5,3,3,0
"Samp0025","Porites astreoides",10,FALSE,5,4,4,0
"Samp0025","Porites astreoides",10,FALSE,4,3,2,0
"Samp0025","Porites astreoides",10,FALSE,4,3,4,0
"Samp0025","Orbicella annularis",10,FALSE,68,57,43,70
"Samp0025","Orbicella annularis",10,FALSE,56,43,27,95
"Samp0025","Orbicella annularis",10,FALSE,48,12,16,85
"Samp0025","Orbicella annularis",10,FALSE,38,19,24,90
"Samp0025","Orbicella annularis",10,FALSE,37,17,26,75
"Samp0025","Orbicella annularis",10,FALSE,29,23,18,48
"Samp0025","Orbicella annularis",10,FALSE,28,17,30,87
"Samp0025","Orbicella annularis",10,FALSE,26,23,19,70
