INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0038,ABLABESMYIA,1
CIP_medium,KS_0038,ARGIA,16
CIP_medium,KS_0038,BASIAESCHNA JANATA,3
CIP_medium,KS_0038,BEROSUS,12
CIP_medium,KS_0038,BRANCHIURA SOWERBYI,3
CIP_medium,KS_0038,CAENIS,1
CIP_medium,KS_0038,CENTROPTILUM,1
CIP_medium,KS_0038,CERACLEA,5
CIP_medium,KS_0038,CHEUMATOPSYCHE,58
CIP_medium,KS_0038,CHIRONOMIDAE,11
CIP_medium,KS_0038,CHIRONOMUS,1
CIP_medium,KS_0038,CLINOTANYPUS,5
CIP_medium,KS_0038,CORBICULA FLUMINEA,2
CIP_medium,KS_0038,CORYDALUS CORNUTUS,6
CIP_medium,KS_0038,DROMOGOMPHUS SPINOSUS,5
CIP_medium,KS_0038,DUBIRAPHIA,24
CIP_medium,KS_0038,ENALLAGMA,41
CIP_medium,KS_0038,EPITHECA PRINCEPS,1
CIP_medium,KS_0038,FERRISSIA,5
CIP_medium,KS_0038,GLOSSIPHONIIDAE,1
CIP_medium,KS_0038,GLYPTOTENDIPES,1
CIP_medium,KS_0038,GOMPHIDAE,1
CIP_medium,KS_0038,GOMPHUS MILITARIS,1
CIP_medium,KS_0038,HELICOPSYCHE,14
CIP_medium,KS_0037,AQUARIUS,1
CIP_medium,KS_0037,ARGIA,3
CIP_medium,KS_0037,BAETIS,32
CIP_medium,KS_0037,BEROSUS,2
CIP_medium,KS_0037,CAENIS,5
CIP_medium,KS_0037,CALOPTERYX MACULATA,2
CIP_medium,KS_0037,CENTROPTILUM,2
CIP_medium,KS_0037,CERATOPOGONIDAE,1
CIP_medium,KS_0037,CHEUMATOPSYCHE,27
CIP_medium,KS_0037,CORYDALUS CORNUTUS,6
CIP_medium,KS_0037,CRYPTOCHIRONOMUS,1
CIP_medium,KS_0037,DUBIRAPHIA,36
CIP_medium,KS_0037,ENALLAGMA,4
CIP_medium,KS_0037,GOMPHUS EXTERNUS,1
CIP_medium,KS_0037,HAGENIUS BREVISTYLUS,1
CIP_medium,KS_0037,HELICHUS,1
CIP_medium,KS_0037,HETAERINA AMERICANA,12
CIP_medium,KS_0037,HETEROSTERNUTA DIVERSICORNIS,2
CIP_medium,KS_0037,HEXATOMA,2
CIP_medium,KS_0037,HYALELLA AZTECA,10
CIP_medium,KS_0037,HYDROPSYCHE SIMULANS,5
CIP_medium,KS_0037,HYDROPSYCHIDAE,3
CIP_medium,KS_0037,MACCAFFERTIUM TERMINATUM,6
CIP_medium,KS_0037,MACROMIA,1
CIP_medium,KS_0037,MACRONYCHUS GLABRATUS,6
CIP_medium,KS_0037,METROBATES,1
CIP_medium,KS_0037,MUSCULIUM TRANSVERSUM,2
CIP_medium,KS_0037,OCHROTRICHIA,1
CIP_medium,KS_0037,ORCONECTES,4
CIP_medium,KS_0037,PARACYMUS,2
CIP_medium,KS_0037,PILARIA,1
CIP_medium,KS_0037,POLYCENTROPUS,1
CIP_medium,KS_0037,POLYPEDILUM,10
CIP_medium,KS_0037,RHAGOVELIA,9
CIP_medium,KS_0037,SCIRTIDAE,1
CIP_medium,KS_0037,SIALIS,3
CIP_medium,KS_0037,SIMULIUM,4
CIP_medium,KS_0037,STENACRON INTERPUNCTATUM,16
CIP_medium,KS_0037,STENELMIS,18
CIP_medium,KS_0037,STENELMIS CRENATA,2
CIP_medium,KS_0037,STENELMIS SEXLINEATA,12
CIP_medium,KS_0037,STENELMIS VITTIPENNIS,6
CIP_medium,KS_0037,STENONEMA FEMORATUM,1
CIP_medium,KS_0037,THIENEMANNIMYIA GROUP,2
CIP_medium,KS_0037,TRIBELOS,1
CIP_medium,KS_0037,TRICHOCORIXA,1
CIP_medium,KS_0037,TRICORYTHODES,37
CIP_medium,KS_0037,TROPISTERNUS,1
CIP_medium,KS_0038,HETERELMIS VULNERATA,10
CIP_medium,KS_0038,HYALELLA AZTECA,22
CIP_medium,KS_0038,HYDROPHILIDAE,1
CIP_medium,KS_0038,HYDROPSYCHE SIMULANS,1
CIP_medium,KS_0038,LIBELLULA,1
CIP_medium,KS_0038,LIBELLULIDAE,6
CIP_medium,KS_0038,MACROMIA,2
CIP_medium,KS_0038,MACRONYCHUS GLABRATUS,4
CIP_medium,KS_0038,MESOVELIA,1
CIP_medium,KS_0038,MICROTENDIPES,1
CIP_medium,KS_0038,MICROVELIA,1
CIP_medium,KS_0038,MUSCULIUM,31
CIP_medium,KS_0038,NASIAESCHNA PENTACANTHA,1
CIP_medium,KS_0038,NEUROCORDULIA XANTHOSOMA,1
CIP_medium,KS_0038,ORCONECTES,1
CIP_medium,KS_0038,PALMACORIXA,10
CIP_medium,KS_0038,PELTODYTES LITORALIS,2
CIP_medium,KS_0038,PELTODYTES SEXMACULATUS,1
CIP_medium,KS_0038,PERITHEMIS TENERA,1
CIP_medium,KS_0038,PHYSELLA,27
CIP_medium,KS_0038,POLYPEDILUM,4
CIP_medium,KS_0038,PROCLADIUS,14
CIP_medium,KS_0038,RANATRA,1
CIP_medium,KS_0038,RHAGOVELIA,2
CIP_medium,KS_0038,SCIRTIDAE,1
CIP_medium,KS_0038,SIALIS,2
CIP_medium,KS_0038,STENACRON INTERPUNCTATUM,1
CIP_medium,KS_0038,STENELMIS,26
CIP_medium,KS_0038,STENELMIS DECORATA,1
