INDEX_CLASS,SampleID,TAXAID,N_TAXA
CGP_mNRSA,NE_2269,Baetis Rhodani Group,2
CGP_mNRSA,NE_2269,Brillia,7
CGP_mNRSA,NE_2269,Ceratopogoninae,1
CGP_mNRSA,NE_2269,Ceratopsyche,1
CGP_mNRSA,NE_2269,Cheumatopsyche,1
CGP_mNRSA,NE_2269,Chironomini,1
CGP_mNRSA,NE_2269,Chironomus,5
CGP_mNRSA,NE_2269,Cladotanytarsus,3
CGP_mNRSA,NE_2269,Coenagrionidae,4
CGP_mNRSA,NE_2269,Conchapelopia,2
CGP_mNRSA,NE_2269,Corbicula fluminea,4
CGP_mNRSA,NE_2269,Corynoneura,1
CGP_mNRSA,NE_2269,Cricotopus,1
CGP_mNRSA,NE_2269,Cryptochironomus,4
CGP_mNRSA,NE_2269,Empididae,1
CGP_mNRSA,NE_2269,Fallceon,1
CGP_mNRSA,NE_2269,Galba,1
CGP_mNRSA,NE_2269,Helophorus,1
CGP_mNRSA,NE_2269,Heptagenia,9
CGP_mNRSA,NE_2269,Hetaerina,4
CGP_mNRSA,NE_2269,Hydrophilidae,1
CGP_mNRSA,NE_2269,Hydroptila,2
CGP_mNRSA,NE_2269,Limnophyes,3
CGP_mNRSA,NE_2269,Liodessus,1
CGP_mNRSA,NE_2269,Nectopsyche diarina,16
CGP_mNRSA,NE_2269,Orthocladiinae,1
CGP_mNRSA,NE_2269,Orthocladius,2
CGP_mNRSA,NE_2269,Paracladopelma,1
CGP_mNRSA,NE_2269,Paraphaenocladius,1
CGP_mNRSA,NE_2269,Paratanytarsus,2
CGP_mNRSA,NE_2269,Physella,32
CGP_mNRSA,NE_2269,Polypedilum,1
CGP_mNRSA,NE_2269,Polypedilum flavum,2
CGP_mNRSA,NE_2269,Polypedilum Illinoense Group,50
CGP_mNRSA,NE_2269,Polypedilum Scalaenum Group,4
CGP_mNRSA,NE_2269,Saetheria,1
CGP_mNRSA,NE_2269,Simulium,51
CGP_mNRSA,NE_2269,Tanypodinae,1
CGP_mNRSA,NE_2269,Thienemannimyia Group,9
CGP_mNRSA,NE_2269,Tricorythodes,7
CGP_mNRSA,NE_2269,Tubificinae,8
CGP_mNRSA,NE_2270,Ablabesmyia,2
CGP_mNRSA,NE_2270,Anisoptera,1
CGP_mNRSA,NE_2270,Aulodrilus,17
CGP_mNRSA,NE_2270,Caenis,102
CGP_mNRSA,NE_2270,Callibaetis,3
CGP_mNRSA,NE_2270,Ceratopogoninae,21
CGP_mNRSA,NE_2270,Chironomus,82
CGP_mNRSA,NE_2270,Cladopelma,1
CGP_mNRSA,NE_2270,Coenagrionidae,6
CGP_mNRSA,NE_2270,Copepoda,4
CGP_mNRSA,NE_2270,Corixidae,36
CGP_mNRSA,NE_2270,Corynoneura,2
CGP_mNRSA,NE_2270,Crambidae,1
CGP_mNRSA,NE_2270,Crangonyx,2
CGP_mNRSA,NE_2270,Cricotopus (Isocladius),2
CGP_mNRSA,NE_2270,Cricotopus bicinctus,7
CGP_mNRSA,NE_2270,Cryptochironomus,1
CGP_mNRSA,NE_2270,Cryptotendipes,11
CGP_mNRSA,NE_2270,Dicrotendipes,5
CGP_mNRSA,NE_2270,Dubiraphia,24
CGP_mNRSA,NE_2270,Erpobdella,1
CGP_mNRSA,NE_2270,Haliplus,2
CGP_mNRSA,NE_2270,Hyalella,14
CGP_mNRSA,NE_2270,Ostracoda,4
CGP_mNRSA,NE_2270,Paralauterborniella nigrohalterale,1
CGP_mNRSA,NE_2270,Paratanytarsus,1
CGP_mNRSA,NE_2270,Peltodytes,2
CGP_mNRSA,NE_2270,Physella,1
CGP_mNRSA,NE_2270,Polypedilum,1
CGP_mNRSA,NE_2270,Polypedilum Halterale Group,1
CGP_mNRSA,NE_2270,Polypedilum Illinoense Group,4
CGP_mNRSA,NE_2270,Procladius,21
CGP_mNRSA,NE_2270,Simulium,4
CGP_mNRSA,NE_2270,Tanypodinae,5
CGP_mNRSA,NE_2270,Tanypus,133
CGP_mNRSA,NE_2270,Tanytarsus,4
CGP_mNRSA,NE_2270,Thienemanniella,1
CGP_mNRSA,NE_2270,Trichocorixa,5
CGP_mNRSA,NE_2271,Ablabesmyia,2
CGP_mNRSA,NE_2271,Arrenurus,4
CGP_mNRSA,NE_2271,Caenis,18
CGP_mNRSA,NE_2271,Callibaetis,2
CGP_mNRSA,NE_2271,Chironomus,1
CGP_mNRSA,NE_2271,Clinotanypus,4
CGP_mNRSA,NE_2271,Coenagrionidae,180
CGP_mNRSA,NE_2271,Corixidae,13
CGP_mNRSA,NE_2271,Corynoneura,2
CGP_mNRSA,NE_2271,Crambidae,1
CGP_mNRSA,NE_2271,Cricotopus (Isocladius),2
CGP_mNRSA,NE_2271,Cryptochironomus,1
CGP_mNRSA,NE_2271,Dicrotendipes,2
CGP_mNRSA,NE_2271,Dubiraphia,31
CGP_mNRSA,NE_2271,Epoicocladius,5
CGP_mNRSA,NE_2271,Helobdella stagnalis,1
CGP_mNRSA,NE_2271,Hyalella,231
CGP_mNRSA,NE_2271,Larsia,3
CGP_mNRSA,NE_2271,Limnophyes,2
CGP_mNRSA,NE_2271,Paratanytarsus,8
CGP_mNRSA,NE_2271,Paratendipes,7
CGP_mNRSA,NE_2271,Peltodytes,1
CGP_mNRSA,NE_2271,Phaenopsectra,1
CGP_mNRSA,NE_2271,Physella,1
CGP_mNRSA,NE_2271,Polypedilum,1
CGP_mNRSA,NE_2271,Polypedilum Fallax Group,1
CGP_mNRSA,NE_2271,Polypedilum Illinoense Group,3
CGP_mNRSA,NE_2271,Procladius,4
CGP_mNRSA,NE_2271,Quistadrilus,2
CGP_mNRSA,NE_2271,Stictochironomus,1
CGP_mNRSA,NE_2271,Tanypus,5
CGP_mNRSA,NE_2271,Tanytarsus,1
CGP_mNRSA,NE_2271,Thienemannimyia Group,4
CGP_mNRSA,NE_2271,Zavrelimyia,1
CGP_mNRSA,NE_2817,Ablabesmyia,3
CGP_mNRSA,NE_2817,Caenis,1
CGP_mNRSA,NE_2817,Ceratopogoninae,5
CGP_mNRSA,NE_2817,Chironomus,9
CGP_mNRSA,NE_2817,Cladotanytarsus,1
CGP_mNRSA,NE_2817,Coenagrionidae,2
CGP_mNRSA,NE_2817,Conchapelopia,1
CGP_mNRSA,NE_2817,Cricotopus,2
CGP_mNRSA,NE_2817,Cryptochironomus,1
CGP_mNRSA,NE_2817,Dicrotendipes,4
CGP_mNRSA,NE_2817,Dytiscidae,5
CGP_mNRSA,NE_2817,Enchytraeidae,1
CGP_mNRSA,NE_2817,Fallceon,122
CGP_mNRSA,NE_2817,Faxonius,1
CGP_mNRSA,NE_2817,Gomphidae,1
CGP_mNRSA,NE_2817,Hexatoma,2
CGP_mNRSA,NE_2817,Hydropsyche simulans,4
CGP_mNRSA,NE_2817,Hydroptila,1
CGP_mNRSA,NE_2817,Labiobaetis,6
CGP_mNRSA,NE_2817,Laccobius,1
CGP_mNRSA,NE_2817,Laccophilus,2
CGP_mNRSA,NE_2817,Limnodrilus,1
CGP_mNRSA,NE_2817,Nais communis,35
CGP_mNRSA,NE_2817,Nectopsyche candida,4
CGP_mNRSA,NE_2817,Ostracoda,3
CGP_mNRSA,NE_2817,Paracladopelma,2
CGP_mNRSA,NE_2817,Paracloeodes,45
CGP_mNRSA,NE_2817,Physella,22
CGP_mNRSA,NE_2817,Polypedilum,8
CGP_mNRSA,NE_2817,Polypedilum flavum,24
CGP_mNRSA,NE_2817,Polypedilum Illinoense Group,114
CGP_mNRSA,NE_2817,Pristina,2
CGP_mNRSA,NE_2817,Rheosmittia,5
CGP_mNRSA,NE_2817,Rheotanytarsus,10
CGP_mNRSA,NE_2817,Robackia,10
