"TAXAID","TAXONGRP","FAMILY","GENUS","COMMONNAME","BCG_ATTR","BCGATTR_ROMAN","BCG_ATTR2","BCG_ATTR2_ROMAN","BCG_NUM","NATIVE","TROPHIC","HABITAT","REPRODUCTION"
"ALOSA CHRYSOCHLORIS","OTHER","CLUPEIDAE","ALOSA","SKIPJACK HERRING",4,"IV","4_BETTER","IVa",4,"NATIVE","TC","W","BROADCASTER; MIGRATORY"
"ALOSA PSEUDOHARENGUS","OTHER","CLUPEIDAE","ALOSA","ALEWIFE",3,"III","3_MIDDLE","III",3,"NATIVE","IV","F;W","BROADCASTER; MIGRATORY"
"AMBLOPLITES ARIOMMUS","PERCIFORMES","CENTRARCHIDAE","AMBLOPLITES","SHADOW BASS",3,"III","3_MIDDLE","III",3,"NATIVE","TC","F;W","COMPLEX NEST; LITHOPHIL"
"AMBLOPLITES CONSTELLATUS","PERCIFORMES","CENTRARCHIDAE","AMBLOPLITES","OZARK BASS",3,"III","3_MIDDLE","III",3,"NATIVE","TC","F;W","COMPLEX NEST; LITHOPHIL"
"AMBLOPLITES RUPESTRIS","PERCIFORMES","CENTRARCHIDAE","AMBLOPLITES","ROCK BASS",3,"III","3_BETTER","IIIa",3,"NATIVE","TC","W","COMPLEX NEST; LITHOPHIL"
"AMEIURUS","OTHER","ICTALURIDAE","AMEIURUS","BULLHEADS",4,"IV","4_WORSE","IVb",4.5,"NATIVE","OM",,
"AMEIURUS MELAS","OTHER","ICTALURIDAE","AMEIURUS","BLACK BULLHEAD",5,"V","5_MIDDLE","V",5,"NATIVE","OM",,"COMPLEX NEST"
"AMEIURUS NATALIS","OTHER","ICTALURIDAE","AMEIURUS","YELLOW BULLHEAD",4,"IV","4_WORSE","IVb",4.5,"NATIVE","OM",,"COMPLEX NEST"
"AMEIURUS NEBULOSUS","OTHER","ICTALURIDAE","AMEIURUS NEBULOSUS","BROWN BULLHEAD",4,"IV","4_WORSE","IVb",4.5,"NATIVE","OM",,"COMPLEX NEST"
"AMIA CALVA","OTHER","AMIIDAE","AMIA","BOWFIN",4,"IV","4_BETTER","IVa",4,"NATIVE","TC","W","COMPLEX NEST"
