SAMPLEID,LATITUDE,LONGITUDE,COLLDATE
BDB-000052082,41.95511389,-92.59747778,10/15/2012
BDB-000052085,41.98549722,-92.69881111,10/16/2012
BDB-000052086,41.99816667,-92.67130556,10/16/2012
BDB-000052087,41.98555556,-92.67222222,10/16/2012
BDB-000052088,41.96425556,-92.63655,10/17/2012
EPA_R7_WQX-BlueRiv1Fish07,39.04055,-94.52095,8/2/2007
EPA_R7_WQX-BlueRiv2Fish07,38.95787,-94.55915,8/2/2007
EPA_R7_WQX-BlueRiv3Fish07,38.84216,-94.61246,8/2/2007
EPA_R7_WQX-Brenner1Fish07,39.10646,-94.70902,7/18/2007
EPA_R7_WQX-Brenner2Fish07,39.12281,-94.72061,7/18/2007
EPA_R7_WQX-Brush1Fish07,39.03424,-94.60249,7/5/2007
EPA_R7_WQX-Brush2Fish07,39.02452,-94.61593,7/5/2007
EPA_R7_WQX-Cedar1Fish07,38.958769,-94.913919,6/20/2007
EPA_R7_WQX-Cedar2Fish07,38.91258,-94.88442,6/20/2007
EPA_R7_WQX-Cedar3Fish07,38.8987,-94.88787,6/20/2007
EPA_R7_WQX-Coffee1Fish07,38.82157,-94.70612,6/19/2007
EPA_R7_WQX-Coffee2Fish07,38.82652,-94.7244,6/19/2007
EPA_R7_WQX-Coffee3Fish07,38.83099,-94.74377,6/19/2007
EPA_R7_WQX-Indian1Fish07,38.9408,-94.67343,7/5/2007
EPA_R7_WQX-Indian3Fish07,38.89706,-94.75955,7/5/2007
EPA_R7_WQX-Line1Fish07,39.17998,-94.61031,8/2/2007
EPA_R7_WQX-Line2Fish07,39.19885,-94.61168,8/2/2007
EPA_R7_WQX-Line3Fish07,39.20265,-94.61237,8/2/2007
EPA_R7_WQX-Mill1Fish07,39.00734,-94.81149,7/18/2007
EPA_R7_WQX-Mill2Fish07,38.96606,-94.81388,7/18/2007
EPA_R7_WQX-Mill3Fish07,38.92274,-94.80405,7/18/2007
EPA_R7_WQX-Shoal1Fish07,39.23341,-94.54247,8/2/2007
EPA_R7_WQX-Shoal2Fish07,39.21756,-94.51112,8/2/2007
EPA_R7_WQX-Shoal3Fish07,39.24642,-94.49806,8/2/2007
EPA_R7_WQX-Tomahawk1Fish07,38.91472,-94.63235,7/5/2007
EPA_R7_WQX-Tomahawk2Fish07,38.88767,-94.66872,7/5/2007
EPA_R7_WQX-Tomahawk3Fish07,38.87545,-94.70218,7/5/2007
EPA_R7_WQX-Turkey1Fish07,39.06112,-94.62565,6/21/2007
EPA_R7_WQX-Turkey2Fish07,39.04335,-94.6591,6/21/2007
EPA_R7_WQX-Turkey3Fish07,38.99588,-94.7009,6/21/2007
FW08IA003_2009_1,42.06933973,-95.9195375,5/28/2009
FW08IA004_2008_2,40.82880459,-95.20484547,10/6/2008
FW08IA005_2008_1,42.9935657,-95.07848105,10/14/2008
FW08IA008_2008_1,42.7025234,-91.92311051,8/20/2008
FW08IA009_2008_1,42.76793004,-92.3558993,8/21/2008
FW08IA010_2009_1,42.31515607,-92.19434011,9/21/2009
FW08IA011_2008_1,40.67346652,-95.31217703,9/17/2008
FW08IA014_2008_1,42.21851513,-92.74238821,10/13/2008
FW08IA015_2009_1,42.41056828,-94.98608641,6/1/2009
FW08IA016_2008_1,40.87133759,-94.91030404,9/18/2008
FW08IA023_2008_1,40.87373291,-95.597704,8/12/2008
FW08IA024_2009_1,43.45106299,-94.86715931,7/29/2009
FW08IA029_2009_1,42.24730754,-92.32474086,9/15/2009
FW08IA035_2009_1,43.26844196,-96.21303224,8/19/2009
FW08IA040_2009_1,42.90281153,-95.193094,9/1/2009
FW08IA043_2008_1,41.587557,-94.39743921,9/2/2008
FW08IA044_2009_1,41.48554921,-92.90182008,8/6/2009
FW08IA047_2009_2,41.46759547,-95.90930533,9/30/2009
FW08IA049_2009_1,41.31754055,-92.5282867,7/30/2009
FW08IA052_2008_1,42.913511,-94.05752706,9/22/2008
FW08IA053_2009_1,40.73584503,-91.935953,10/6/2009
FW08IA055_2008_1,40.68790173,-93.96833011,9/23/2008
FW08IA057_2009_1,42.00261719,-91.07903925,10/14/2009
FW08KS001_2009_2,39.01490805,-98.01046463,6/23/2009
FW08KS005_2008_1,38.19892655,-95.42768365,7/22/2008
FW08KS006_2008_1,37.47701976,-98.36534065,8/12/2008
FW08KS007_2009_2,39.8720393,-95.027241,9/9/2009
FW08KS008_2008_1,37.82360405,-97.46278768,9/9/2008
FW08KS009_2009_1,38.12609245,-98.07808799,7/21/2009
FW08KS010_2009_2,39.42727676,-98.53949147,8/4/2009
FW08KS011_2009_1,39.72624418,-94.91122094,7/15/2009
FW08KS015_2009_1,37.39753599,-95.679769,10/5/2009
FW08KS016_2009_1,38.55432077,-97.50525136,8/19/2009
FW08KS017_2009_1,38.76631205,-100.2741424,6/2/2009
FW08KS019_2009_1,38.83876448,-100.9919327,6/3/2009
FW08KS022_2008_1,39.49522605,-97.2319021,10/7/2008
FW08KS023_2009_1,39.06027296,-94.84194968,9/10/2009
FW08KS024_2009_1,37.33922449,-97.25534515,8/31/2009
FW08KS025_2009_1,38.69972779,-98.10452187,8/12/2009
FW08KS031_2009_1,37.88164693,-95.67600726,8/24/2009
FW08KS036_2008_1,37.99322599,-99.32134205,8/25/2008
FW08KS037_2009_1,39.72059013,-99.22212862,6/9/2009
FW08KS038_2008_1,39.28796786,-97.41126277,10/6/2008
FW08KS039_2008_1,39.01570904,-95.84061299,7/8/2008
FW08KS040_2008_1,37.85231964,-97.94179319,9/22/2008
FW08KS042_2008_1,39.55416589,-99.74415093,9/29/2008
FW08KS043_2008_1,38.70640167,-95.80726844,9/2/2008
FW08KS044_2009_1,38.66455303,-98.06276981,6/22/2009
FW08KS047_2009_1,37.50351751,-95.15264854,9/29/2009
FW08KS055_2009_1,39.05435221,-95.49074362,5/27/2009
FW08KS056_2009_1,37.66231809,-97.75767731,7/28/2009
FW08KS058_2009_1,39.1062615,-99.23252823,6/8/2009
FW08KS059_2009_1,38.58271476,-95.5120147,8/25/2009
FW08KS060_2009_1,38.58737345,-97.64250018,8/26/2009
FW08KS063_2009_1,38.21361387,-94.95034733,9/16/2009
FW08MN017_2008_1,43.71939974,-95.04621986,9/24/2008
FW08MN021_2008_1,43.76481527,-94.0407091,9/25/2008
FW08MN037_2008_1,43.90668456,-94.06029727,9/26/2008
FW08MN045_2009_1,44.94299277,-95.77757323,7/9/2009
FW08MN061_2009_1,44.55212694,-95.02509853,8/6/2009
FW08MN093_2009_1,44.20717738,-92.98116751,9/23/2009
FW08MO005_2008_1,39.92375623,-95.06118003,7/8/2008
FW08MO007_2008_1,38.48030586,-93.61433623,7/11/2008
FW08MO008_2009_1,40.11656931,-92.76214243,5/27/2009
FW08MO010_2009_1,39.97807985,-91.70303678,5/28/2009
FW08MO012_2008_1,39.73426795,-93.94027089,7/9/2008
FW08MO023_2008_1,39.02826524,-93.68118812,7/8/2008
FW08MO024_2009_1,40.09405365,-92.83475533,5/26/2009
FW08MO026_2008_1,39.21987267,-91.92117078,9/30/2008
FW08MO036_2008_1,39.09748535,-94.3516648,9/23/2008
FW08MO058_2009_1,39.1538803,-91.62585609,5/19/2009
FW08MO068_2009_1,39.69717334,-94.88073103,5/14/2009
FW08MO076_2009_1,39.71144955,-94.15728285,5/28/2009
FW08NE003_2009_1,40.59679625,-99.16417361,6/11/2009
FW08NE005_2009_1,41.18732896,-96.59256957,5/27/2009
FW08NE006_2009_2,40.71594939,-97.75539193,7/1/2009
FW08NE014_2008_1,40.24541171,-99.70082637,8/22/2008
FW08NE016_2009_1,41.15204585,-96.54845479,5/26/2009
FW08NE022_2009_1,40.35743075,-98.13043793,7/29/2009
FW08NE025_2009_1,41.41565683,-98.08896755,6/1/2009
FW08NE027_2008_1,40.62492341,-100.5745606,8/19/2008
FW08NE030_2008_1,40.23519944,-100.3104841,8/21/2008
FW08NE031_2009_1,40.78429239,-98.73231505,6/9/2009
FW08NE032_2009_1,41.50319474,-96.34987922,6/23/2009
FW08NE035_2009_1,42.58964461,-97.87221739,7/6/2009
FW08NE036_2009_2,41.93932897,-96.14472249,7/27/2009
FW08NE041_2009_1,41.02435136,-98.06696061,6/16/2009
FW08NE043_2009_1,40.65601773,-99.03532026,6/10/2009
FW08NE044_2009_1,41.39955585,-97.15693739,7/21/2009
FW08NE047_2009_1,41.0946563,-99.09852618,6/15/2009
FW08NE050_2009_1,40.24370997,-97.5355205,7/30/2009
FW08NE052_2009_1,41.40970756,-97.78105418,10/1/2009
FW08NE057_2009_1,41.09010546,-97.25063478,7/22/2009
FW08NE060_2009_1,40.90225697,-96.60625678,8/17/2009
FW08NE066_2009_1,40.0720793,-97.24108376,7/28/2009
FW08NE070_2009_1,40.97626295,-96.00091308,6/24/2009
FW08OK003_2009_2,35.39160833,-99.88193684,7/20/2009
FW08OK009_2009_1,34.99997433,-98.87602324,6/9/2009
FW08OK012_2008_1,35.69013981,-95.16558574,9/30/2008
FW08OK013_2009_1,34.84027447,-97.61221103,6/16/2009
FW08OK014_2008_1,36.00645377,-97.33118306,8/18/2008
FW08OK017_2009_1,35.92581878,-99.51524625,6/22/2009
FW08OK018_2009_1,36.9580016,-97.42192041,9/22/2009
FW08OK020_2008_1,34.83934394,-98.3059952,9/22/2008
FW08OK024_2009_1,35.53000044,-99.13021326,6/8/2009
FW08OK025_2009_1,36.05503102,-98.12901078,9/21/2009
FW08OK027_2009_1,35.92491272,-97.86391004,8/17/2009
FW08OK028_2009_1,34.59158644,-99.02375474,6/16/2009
FW08OK030_2009_1,36.95134826,-95.03539371,7/6/2009
FW08OK039_2009_1,35.23731668,-97.56341931,7/13/2009
FW08OK040_2009_1,35.91078019,-99.04912543,6/23/2009
