"SAMPLEID","TAXAID","N_TAXA"
"BDB-000052082","DOROSOMA CEPEDIANUM",4
"BDB-000052082","CARPIODES CARPIO",19
"BDB-000052082","CARPIODES CYPRINUS",3
"BDB-000052082","CARPIODES VELIFER",2
"BDB-000052082","CATOSTOMUS COMMERSONII",2
"BDB-000052082","ICTIOBUS BUBALUS",1
"BDB-000052082","ICTIOBUS CYPRINELLUS",1
"BDB-000052082","MOXOSTOMA ERYTHRURUM",6
"BDB-000052082","MOXOSTOMA MACROLEPIDOTUM",5
"BDB-000052082","CYPRINELLA LUTRENSIS",579
"BDB-000052082","CYPRINELLA SPILOPTERA",268
"BDB-000052082","CYPRINUS CARPIO",6
"BDB-000052082","HYBOGNATHUS HANKINSONI",10
"BDB-000052082","HYBOGNATHUS NUCHALIS",2
"BDB-000052082","LUXILUS CORNUTUS",1
"BDB-000052082","HYBOPSIS DORSALIS",2
"BDB-000052082","NOTROPIS ATHERINOIDES",63
"BDB-000052082","NOTROPIS STRAMINEUS",6
"BDB-000052082","PHENACOBIUS MIRABILIS",1
"BDB-000052082","PIMEPHALES NOTATUS",58
"BDB-000052082","PIMEPHALES VIGILAX",4
"BDB-000052082","LEPOMIS MACROCHIRUS",3
"BDB-000052082","MICROPTERUS SALMOIDES",1
"BDB-000052082","ETHEOSTOMA NIGRUM",1
"BDB-000052082","APLODINOTUS GRUNNIENS",1
"BDB-000052082","ICTALURUS PUNCTATUS",3
"BDB-000052085","DOROSOMA CEPEDIANUM",3
"BDB-000052085","CARPIODES CARPIO",92
"BDB-000052085","CARPIODES CYPRINUS",5
"BDB-000052085","CARPIODES VELIFER",5
"BDB-000052085","CATOSTOMUS COMMERSONII",2
"BDB-000052085","HYPENTELIUM NIGRICANS",1
"BDB-000052085","ICTIOBUS BUBALUS",2
"BDB-000052085","MOXOSTOMA ERYTHRURUM",8
"BDB-000052085","MOXOSTOMA MACROLEPIDOTUM",15
"BDB-000052085","CAMPOSTOMA ANOMALUM",1
"BDB-000052085","CYPRINELLA LUTRENSIS",164
"BDB-000052085","CYPRINELLA SPILOPTERA",405
"BDB-000052085","CYPRINUS CARPIO",5
"BDB-000052085","HYBOGNATHUS HANKINSONI",1
