STATIONID	COMID
testerror	1.11E+12
GMW_01_0003	3923043
GMW_01_0004	3923043
GMW_01_0005	3922889
GMW_01_0006	3922903
GMW_01_0012	3922883
GMW_02_0001	3922973
GMW_02_0002	3921505
GMW_02_0003	3922973
GMW_02_0004	3923193
GMW_02_0014	3922973
GMW_03_0007	3923033
GMW_03_0008	3921793
GMW_03_0009	3921599
GMW_03_0015	3923011
GMW_04_0002	3923205
GMW_04_0003	3923211
GMW_04_0004	3923101
GMW_04_0005	3923115
GMW_04_0008	3923209
GMW_04_0012	3923217
GMW_04_0013	3923213
GMW_04_0019	3923115
GMW_05_0001	3925013
GMW_05_0002	3925147
GMW_05_0003	3925149
GMW_06_0002	3925035
GMW_06_0003	3925067
GMW_06_0004	3925019
GMW_06_0005	3924997
GMW_06_0006	3925085
GMW_07_0009	3923087
GMW_07_0010	3921967
GMW_07_0011	3921945
GMW_07_0012	3922169
GMW_07_0014	3921615
GMW_07_0015	3921809
GMW_07_0017	3922211
GMW_07_0024	3921857
GMW_08_0001	3925123
GMW_08_0003	3924349
GMW_08_0005	3924361
GMW_08_0006	3925115
GMW_08_0013	3924057
GMW010_0044	3922901
GMW020_0035	3923067
GMW040_0040	3923093
GMW060_0021	3924973
GMW060_0022	3925121
GMW070_0117	3922169
LEA120_0009	15650139
LEJ050_0066	15677179
LEJ050_0068	15677931
LEJ060_0015	15677997
LEJ070_0028	15679447
LEJ080_0016	15679019
LEJ080_0017	15678429
LEJ090_0040	15679073
LEJ090_0041	15679193
LEJ100_0026	15679363
LEM010_0046	15667743
LEM010_0050	15667547
LEM010_0051	15667751
LEM010_0052	15668379
LES030_0002	15672089
LES040_0104	15671981
LMG_04_0039	3396960
LMG_05_0015	3399812
LMG030_0028	3399874
LMG030_0029	3399858
LMG040_0012	3398448
LMG050_0121	3399728
LMG060_0040	3398224
LMG060_0041	3396948
LMG070_0035	3396804
LMG070_0038	3396814
LMG100_0009	3396730
LMJ110_0124	12258166
LMJ110_0125	12261378
LMJ110_0128	12262104
LMJ110_0129	12261192
LMJ120_0042	12262070
LMJ120_0048	12260938
LMJ130_0008	12262768
LMJ140_0118	12263256
LMJ140_0119	12261340
LMJ150_0023	904050135
LMJ170_0080	12262224
LMJ180_0049	12266518
LMJ180_0052	12266510
LMJ190_0031	12261736
LMJ190_0032	12266268
LMJ200_0060	12266482
LMJ210_0030	12261174
LMJ220_0014	12264836
LMJ240_0046	904050147
OBS090_0008	10357624
OBS090_0009	10357670
OBS100_0010	10357708
OBS120_0015	10356486
OBS120_0016	10357568
OBS130_0009	10355888
OBS140_0010	10357576
OBS150_0024	10357656
OBS150_0025	10357692
OBS150_0027	10357178
OBS180_0022	10357124
OBS180_0025	10357700
OHP020_0026	10156567
OHP030_0026	10156795
OHP030_0027	10156749
OLP070_0064	10107083
OLP080_0010	10106873
OLP110_0001	10110103
OLP140_0098	10108527
OLP140_0099	10108473
OLP140_0100	10108557
OML030_0015	3405197
OML040_0008	3406849
OML040_0012	3405337
OML040_0014	3405587
OML060_0017	3406653
OML060_0019	3406839
OML070_0021	3406847
OML200_0004	3408185
OML200_0018	3408185
OSK_02_0016	10161782
OSK030_0017	10161394
OSK030_0019	10161408
OSK060_0001	10163340
OSK070_0018	10161862
OSK100_0001	10163678
OSK140_0040	10161742
OSK140_0041	10163622
OSK140_0042	10163834
OSK140_0043	10163366
OSK150_0005	10163684
UMI_02_0014	13454462
UMI_02_0015	13453826
