SampleID,TaxaID,N_Taxa,INDEX_CLASS,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,FFG,TOLVAL,HABIT,NONTARGET
010070-8/16/23,Aeshnidae,4,WestSteep,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
010070-8/16/23,Amphipoda,14,WestSteep,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010070-8/16/23,Ancylidae,4,WestSteep,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010070-8/16/23,Baetidae,4,WestSteep,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010070-8/16/23,Brachycentridae,3,WestSteep,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
010070-8/16/23,Calopterygidae,8,WestSteep,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010070-8/16/23,Chironomidae,32,WestSteep,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010070-8/16/23,Corixidae,3,WestSteep,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
010070-8/16/23,Corydalidae,1,WestSteep,Arthropoda,,Insecta,,Megaloptera,Corydalidae,PR,4.9,CN,FALSE
010070-8/16/23,Culicidae,1,WestSteep,Arthropoda,,Insecta,,Diptera,Culicidae,CF,8.1,SW,FALSE
010070-8/16/23,Decapoda,4,WestSteep,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
010070-8/16/23,Elmidae,10,WestSteep,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010070-8/16/23,Ephemeridae,2,WestSteep,Arthropoda,,Insecta,,Ephemeroptera,Ephemeridae,CG,3,BU,FALSE
010070-8/16/23,Helicopsychidae,9,WestSteep,Arthropoda,,Insecta,,Trichoptera,Helicopsychidae,SC,2,BU,FALSE
010070-8/16/23,Heptageniidae,1,WestSteep,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010070-8/16/23,Hirudinea,2,WestSteep,Annelida,,Hirudinea,Hirudinea,,,PR,NA,SP,FALSE
010070-8/16/23,Hydracarina,2,WestSteep,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010070-8/16/23,Hydrophilidae,1,WestSteep,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,PR,5.4,BU;SW,FALSE
010070-8/16/23,Hydropsychidae,14,WestSteep,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010070-8/16/23,Isopoda,17,WestSteep,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
010070-8/16/23,Leptoceridae,16,WestSteep,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
010070-8/16/23,Limnephilidae,9,WestSteep,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010070-8/16/23,Molannidae,6,WestSteep,Arthropoda,,Insecta,,Trichoptera,Molannidae,SC,5.2,SP,FALSE
010070-8/16/23,Oligochaeta,7,WestSteep,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
010070-8/16/23,Physidae,39,WestSteep,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010070-8/16/23,Pisidiidae,19,WestSteep,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
010070-8/16/23,Planorbidae,4,WestSteep,Mollusca,,Gastropoda,,Basommatophora,Planorbidae,SC,6.5,CB,FALSE
010070-8/16/23,Polycentropodidae,2,WestSteep,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010070-8/16/23,Sialidae,5,WestSteep,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010070-8/16/23,Tabanidae,13,WestSteep,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010070-8/16/23,Unionidae,1,WestSteep,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
010145-8/16/23,Aeshnidae,2,Narrow,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
010145-8/16/23,Amphipoda,22,Narrow,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010145-8/16/23,Ancylidae,1,Narrow,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010145-8/16/23,Athericidae,1,Narrow,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
010145-8/16/23,Baetidae,11,Narrow,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010145-8/16/23,Calopterygidae,2,Narrow,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010145-8/16/23,Ceratopogonidae,3,Narrow,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,PR,6.3,BU;SP,FALSE
010145-8/16/23,Chironomidae,76,Narrow,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010145-8/16/23,Decapoda,1,Narrow,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
010145-8/16/23,Elmidae,9,Narrow,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010145-8/16/23,Helicopsychidae,5,Narrow,Arthropoda,,Insecta,,Trichoptera,Helicopsychidae,SC,2,BU,FALSE
010145-8/16/23,Heptageniidae,1,Narrow,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010145-8/16/23,Hirudinea,1,Narrow,Annelida,,Hirudinea,Hirudinea,,,PR,NA,SP,FALSE
010145-8/16/23,Hydracarina,11,Narrow,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010145-8/16/23,Hydropsychidae,59,Narrow,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010145-8/16/23,Hydroptilidae,11,Narrow,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,SC,4,CN,FALSE
010145-8/16/23,Isopoda,7,Narrow,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
010145-8/16/23,Limnephilidae,1,Narrow,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010145-8/16/23,Lymnaeidae,1,Narrow,Mollusca,,Gastropoda,,Basommatophora,Lymnaeidae,SC,6.4,CB,FALSE
010145-8/16/23,Mesoveliidae,2,Narrow,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
010145-8/16/23,Oligochaeta,11,Narrow,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
010145-8/16/23,Physidae,4,Narrow,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010145-8/16/23,Polycentropodidae,3,Narrow,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010145-8/16/23,Sialidae,1,Narrow,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010145-8/16/23,Tabanidae,1,Narrow,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010145-8/16/23,Unionidae,1,Narrow,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
010146-8/16/23,Amphipoda,29,WetWide,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010146-8/16/23,Ancylidae,1,WetWide,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010146-8/16/23,Baetidae,15,WetWide,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010146-8/16/23,Calopterygidae,9,WetWide,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010146-8/16/23,Chironomidae,96,WetWide,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010146-8/16/23,Cordulegastridae,1,WetWide,Arthropoda,,Insecta,,Odonata,Cordulegastridae,PR,2.9,BU,FALSE
010146-8/16/23,Corydalidae,5,WetWide,Arthropoda,,Insecta,,Megaloptera,Corydalidae,PR,4.9,CN,FALSE
010146-8/16/23,Decapoda,3,WetWide,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
010146-8/16/23,Dixidae,1,WetWide,Arthropoda,,Insecta,,Diptera,Dixidae,CG,2.9,SW,FALSE
010146-8/16/23,Elmidae,1,WetWide,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010146-8/16/23,Heptageniidae,1,WetWide,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010146-8/16/23,Hydracarina,1,WetWide,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010146-8/16/23,Hydropsychidae,2,WetWide,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
