SampleID,StationID,CollDate,TaxaID,N_Taxa,FFG,Habit,BCG_ATTR,TolVal,Phylum,SubPhylum,Class,SubClass,Order,Family,SubFamily,Tribe,Genus
Samp9142,FW08CA061,9/12/2008,Dero,18,,,5,,Annelida,,Oligochaeta,,Haplotaxida,Naididae,,,
Samp9142,FW08CA061,9/12/2008,Nais,26,CG,BU,5,8,Annelida,,Oligochaeta,Oligochaeta,Haplotaxida,Naididae,,,
Samp9142,FW08CA061,9/12/2008,Pristina,7,,,5,,Annelida,,Oligochaeta,,Haplotaxida,Naididae,,,
Samp9142,FW08CA061,9/12/2008,Tubificidae,6,CG,BU,5,10,Annelida,,Oligochaeta,Oligochaeta,Haplotaxida,Tubificidae,,,
Samp9142,FW08CA061,9/12/2008,Turbellaria,5,PR,SP,4,4,Platyhelminthes,,Turbellaria,,,,,,
Samp9142,FW08CA061,9/12/2008,Corbicula,14,CF,BU,6,6,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculidae,,,
Samp9142,FW08CA061,9/12/2008,Prostoma,1,PR,,4,6,Nemertea,,Enopla,,Hoplonemertea,Tetrastemmatidae,,,
Samp9142,FW08CA061,9/12/2008,Physa,15,SC,,5,8,Mollusca,,Gastropoda,,Basommatophora,Physidae,,,
Samp9142,FW08CA061,9/12/2008,Lebertia,1,PR,,4,8,Arthropoda,,Arachnida,Acarina,Acariformes,Lebertiidae,,,
Samp9142,FW08CA061,9/12/2008,Mideopsis,2,,,4,,Arthropoda,,Arachnida,,Trombidiformes,Mideopsidae,,,
Samp9142,FW08CA061,9/12/2008,Hyalella,9,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9142,FW08CA061,9/12/2008,Centroptilum,7,CG,CN,,2,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9142,FW08CA061,9/12/2008,Fallceon,2,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9142,FW08CA061,9/12/2008,Ablabesmyia,14,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9142,FW08CA061,9/12/2008,Cricotopus/orthocladius,8,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9142,FW08CA061,9/12/2008,Cryptotendipes,2,CG,BU,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Dicrotendipes,120,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Nanocladius,1,CG,SP,4,3,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9142,FW08CA061,9/12/2008,Paratendipes,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Procladius,2,PR,SP,5,9,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9142,FW08CA061,9/12/2008,Tanytarsus,4,CG,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Argia,2,PR,CN,4,7,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9142,FW08CA061,9/12/2008,Coenagrionidae,23,PR,CB,4,9,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9142,FW08CA061,9/12/2008,Dubiraphia,6,CG,CN,4,4,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9142,FW08CA061,9/12/2008,Hydroptila,2,SC,CN,4,6,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9142,FW08CA061,9/12/2008,Oxyethira,1,,CN,4,3,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9142,FW08CA061,9/12/2008,Nectopsyche,1,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9143,FW08CO033,9/15/2009,Cambarincolidae,1,,,5,,Annelida,,Oligochaeta,,Branchiobdellida,Cambarincolidae,,,
Samp9143,FW08CO033,9/15/2009,Ferrissia,1,SC,CN,4,6,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,,,
Samp9143,FW08CO033,9/15/2009,Cambaridae,1,CG,SP,,6,Arthropoda,,Malacostraca,,Decapoda,Cambaridae,,,
Samp9143,FW08CO033,9/15/2009,Orconectes,1,CG,SP,,6,Arthropoda,,Malacostraca,,Decapoda,Cambaridae,Cambarinae,,
Samp9143,FW08CO033,9/15/2009,Acentrella,2,CG,SW,3,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9143,FW08CO033,9/15/2009,Baetis,4,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9143,FW08CO033,9/15/2009,Fallceon,1,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9143,FW08CO033,9/15/2009,Cricotopus/orthocladius,3,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9143,FW08CO033,9/15/2009,Lopescladius,7,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9143,FW08CO033,9/15/2009,Microtendipes,1,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Paralauterborniella,1,CG,BU,4,5,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Polypedilum,1,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Saetheria,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Stempellinella,1,CG,CN,3,2,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Empididae,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Empididae,,,
Samp9143,FW08CO033,9/15/2009,Glossosoma,4,SC,CN,3,,Arthropoda,,Insecta,,Trichoptera,Glossosomatidae,Glossosomatinae,,
Samp9143,FW08CO033,9/15/2009,Ophiogomphus,2,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9143,FW08CO033,9/15/2009,Heptageniidae,1,SC,CN,3,4,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,,,
Samp9143,FW08CO033,9/15/2009,Cheumatopsyche,2,CF,CN,4,5,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,Hydropsychinae,,
Samp9143,FW08CO033,9/15/2009,Hydropsyche,4,CF,CN,4,4,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,Hydropsychinae,,
Samp9143,FW08CO033,9/15/2009,Hydroptila,1,SC,CN,4,6,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9143,FW08CO033,9/15/2009,Nectopsyche,2,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9143,FW08CO033,9/15/2009,Oecetis,1,PR,CN,4,8,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9143,FW08CO033,9/15/2009,Tricorythodes,28,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9143,FW08CO033,9/15/2009,Leptophlebia,1,CG,SW,4,2,Arthropoda,,Insecta,,Ephemeroptera,Leptophlebiidae,,,
Samp9154,FW08NE021,8/14/2008,Lymnaeidae,1,SC,CB,4,6,Mollusca,,Gastropoda,,Basommatophora,Lymnaeidae,,,
Samp9154,FW08NE021,8/14/2008,Cambaridae,7,CG,SP,,6,Arthropoda,,Malacostraca,,Decapoda,Cambaridae,,,
Samp9154,FW08NE021,8/14/2008,Hyalella,1,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9154,FW08NE021,8/14/2008,Isonychia,8,CF,SW,3,2,Arthropoda,,Insecta,,Ephemeroptera,Isonychiidae,,,
Samp9154,FW08NE021,8/14/2008,Tricorythodes,4,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9160,FW08NE046,6/8/2009,Physa,2,SC,,5,8,Mollusca,,Gastropoda,,Basommatophora,Physidae,,,
Samp9160,FW08NE046,6/8/2009,Callibaetis,8,CG,SW,5,9,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9160,FW08NE046,6/8/2009,Ceratopogoninae,1,PR,BU,4,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Ceratopogoninae,,
Samp9160,FW08NE046,6/8/2009,Chironomus,8,CG,BU,5,10,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Cladotanytarsus,1,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Dicrotendipes,1,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Tropisternus,2,CG,CB,5,5,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,Hydrophilinae,,
Samp9162,FW08OK014,8/18/2008,Dasyhelea,1,CG,SP,5,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Dasyheleinae,,
Samp9162,FW08OK014,8/18/2008,Polypedilum,1,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9162,FW08OK014,8/18/2008,Rheotanytarsus,1,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9162,FW08OK014,8/18/2008,Saetheria,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
