SampleID,StationID,CollDate,TaxaID,N_Taxa,CommonName,Order,Family,BCG_ATTR,Reproduction,Trophic,Type
Samp0257,28RGrand649.1,10/18/1989,Catostomus commersonii,890,White sucker,Cypriniformes,Catostomidae,6t,,OM,
Samp0257,28RGrand649.1,10/18/1989,Catostomus plebeius,4,Rio grande sucker,Cypriniformes,Catostomidae,2,,OM,LLNLB
Samp0257,28RGrand649.1,10/18/1989,Cyprinella lutrensis,2,Red shiner,Cypriniformes,Cyprinidae,5,,OM,
Samp0257,28RGrand649.1,10/18/1989,Gila pandora,33,Rio grande chub,Cypriniformes,Cyprinidae,2,,IV,
Samp0257,28RGrand649.1,10/18/1989,Pimephales promelas,17,Fathead minnow,Cypriniformes,Cyprinidae,5,,OM,
Samp0257,28RGrand649.1,10/18/1989,Platygobio gracilis,5,Flathead chub,Cypriniformes,Cyprinidae,4,,IV,
Samp0257,28RGrand649.1,10/18/1989,Rhinichthys cataractae,633,Longnose dace,Cypriniformes,Cyprinidae,3,,IV,
Samp0257,28RGrand649.1,10/18/1989,Ictalurus punctatus,1,Channel catfish,Siluriformes,Ictaluridae,6t,,IV,
Samp0258,28RGrand704.5,9/30/1993,Catostomus commersonii,69,White sucker,Cypriniformes,Catostomidae,6t,,OM,
Samp0258,28RGrand704.5,9/30/1993,Gila pandora,10,Rio grande chub,Cypriniformes,Cyprinidae,2,,IV,
Samp0258,28RGrand704.5,9/30/1993,Rhinichthys cataractae,33,Longnose dace,Cypriniformes,Cyprinidae,3,,IV,
Samp0348,30RGrand515.9,2/28/1942,Cyprinus carpio,1,Common carp,Cypriniformes,Cyprinidae,6t,,OM,
Samp0348,30RGrand515.9,2/28/1942,Hybognathus amarus,1,Rio grande silvery minnow,Cypriniformes,Cyprinidae,3,Broadcaster,HB,
Samp0348,30RGrand515.9,2/28/1942,Pimephales promelas,1,Fathead minnow,Cypriniformes,Cyprinidae,5,,OM,
Samp0348,30RGrand515.9,2/28/1942,Gambusia affinis,1,Western mosquitofish,Cyprinodontiformes,Poeciliidae,5,,IV,
Samp0349,30RGrand515.9,10/25/1947,Carpiodes carpio,1,River carpsucker,Cypriniformes,Catostomidae,4,,OM,LLNLB
Samp0349,30RGrand515.9,10/25/1947,Cyprinella lutrensis,1,Red shiner,Cypriniformes,Cyprinidae,5,,OM,
Samp0349,30RGrand515.9,10/25/1947,Gila pandora,1,Rio grande chub,Cypriniformes,Cyprinidae,2,,IV,
Samp0349,30RGrand515.9,10/25/1947,Hybognathus amarus,1,Rio grande silvery minnow,Cypriniformes,Cyprinidae,3,Broadcaster,HB,
Samp0349,30RGrand515.9,10/25/1947,Macrhybopsis aestivalis,1,Speckled chub,Cypriniformes,Cyprinidae,1,Broadcaster,IV,
Samp0349,30RGrand515.9,10/25/1947,Notropis simus simus,1,Rio grande bluntnose shiner,Cypriniformes,Cyprinidae,1,Broadcaster,,
Samp0349,30RGrand515.9,10/25/1947,Pimephales promelas,1,Fathead minnow,Cypriniformes,Cyprinidae,5,,OM,
Samp0349,30RGrand515.9,10/25/1947,Platygobio gracilis,1,Flathead chub,Cypriniformes,Cyprinidae,4,,IV,
Samp0349,30RGrand515.9,10/25/1947,Gambusia affinis,1,Western mosquitofish,Cyprinodontiformes,Poeciliidae,5,,IV,
Samp0350,30RGrand515.9,2/10/2004,Rhinichthys cataractae,4,Longnose dace,Cypriniformes,Cyprinidae,3,,IV,
Samp0351,30RGrand535.1,11/22/1996,Catostomus commersonii,220,White sucker,Cypriniformes,Catostomidae,6t,,OM,
Samp0351,30RGrand535.1,11/22/1996,Rhinichthys cataractae,7,Longnose dace,Cypriniformes,Cyprinidae,3,,IV,
Samp0351,30RGrand535.1,11/22/1996,Ictalurus punctatus,41,Channel catfish,Siluriformes,Ictaluridae,6t,,IV,
Samp0351,30RGrand535.1,11/22/1996,Gambusia affinis,29,Western mosquitofish,Cyprinodontiformes,Poeciliidae,5,,IV,
Samp0352,30RGrand586.1,7/25/1978,Catostomus commersonii,1,White sucker,Cypriniformes,Catostomidae,6t,,OM,
Samp0352,30RGrand586.1,7/25/1978,Lepomis cyanellus,1,Green sunfish,Perciformes,Centrarchidae,6t,,IV,
Samp0352,30RGrand586.1,7/25/1978,Cyprinus carpio,1,Common carp,Cypriniformes,Cyprinidae,6t,,OM,
Samp0352,30RGrand586.1,7/25/1978,Platygobio gracilis,1,Flathead chub,Cypriniformes,Cyprinidae,4,,IV,
Samp0352,30RGrand586.1,7/25/1978,Rhinichthys cataractae,1,Longnose dace,Cypriniformes,Cyprinidae,3,,IV,
Samp0352,30RGrand586.1,7/25/1978,Gambusia affinis,1,Western mosquitofish,Cyprinodontiformes,Poeciliidae,5,,IV,
Samp0353,30RGrand586.1,10/2/1986,Catostomus commersonii,12,White sucker,Cypriniformes,Catostomidae,6t,,OM,
