"SampleID","StationID","CollDate","TaxaID","N_Taxa"
"Samp0257","28RGrand649.1",1989-10-18,"Catostomus commersonii",890
"Samp0257","28RGrand649.1",1989-10-18,"Catostomus plebeius",4
"Samp0257","28RGrand649.1",1989-10-18,"Cyprinella lutrensis",2
"Samp0257","28RGrand649.1",1989-10-18,"Gila pandora",33
"Samp0257","28RGrand649.1",1989-10-18,"Pimephales promelas",17
"Samp0257","28RGrand649.1",1989-10-18,"Platygobio gracilis",5
"Samp0257","28RGrand649.1",1989-10-18,"Rhinichthys cataractae",633
"Samp0257","28RGrand649.1",1989-10-18,"Ictalurus punctatus",1
"Samp0258","28RGrand704.5",1993-09-30,"Catostomus commersonii",69
"Samp0258","28RGrand704.5",1993-09-30,"Gila pandora",10
"Samp0258","28RGrand704.5",1993-09-30,"Rhinichthys cataractae",33
"Samp0348","30RGrand515.9",1942-02-28,"Cyprinus carpio",1
"Samp0348","30RGrand515.9",1942-02-28,"Hybognathus amarus",1
"Samp0348","30RGrand515.9",1942-02-28,"Pimephales promelas",1
"Samp0348","30RGrand515.9",1942-02-28,"Gambusia affinis",1
"Samp0349","30RGrand515.9",1947-10-25,"Carpiodes carpio",1
"Samp0349","30RGrand515.9",1947-10-25,"Cyprinella lutrensis",1
"Samp0349","30RGrand515.9",1947-10-25,"Gila pandora",1
"Samp0349","30RGrand515.9",1947-10-25,"Hybognathus amarus",1
"Samp0349","30RGrand515.9",1947-10-25,"Macrhybopsis aestivalis",1
"Samp0349","30RGrand515.9",1947-10-25,"Notropis simus simus",1
"Samp0349","30RGrand515.9",1947-10-25,"Pimephales promelas",1
"Samp0349","30RGrand515.9",1947-10-25,"Platygobio gracilis",1
"Samp0349","30RGrand515.9",1947-10-25,"Gambusia affinis",1
"Samp0350","30RGrand515.9",2004-02-10,"Rhinichthys cataractae",4
"Samp0351","30RGrand535.1",1996-11-22,"Catostomus commersonii",220
"Samp0351","30RGrand535.1",1996-11-22,"Rhinichthys cataractae",7
"Samp0351","30RGrand535.1",1996-11-22,"Ictalurus punctatus",41
"Samp0351","30RGrand535.1",1996-11-22,"Gambusia affinis",29
"Samp0352","30RGrand586.1",1978-07-25,"Catostomus commersonii",1
"Samp0352","30RGrand586.1",1978-07-25,"Lepomis cyanellus",1
"Samp0352","30RGrand586.1",1978-07-25,"Cyprinus carpio",1
"Samp0352","30RGrand586.1",1978-07-25,"Platygobio gracilis",1
"Samp0352","30RGrand586.1",1978-07-25,"Rhinichthys cataractae",1
"Samp0352","30RGrand586.1",1978-07-25,"Gambusia affinis",1
"Samp0353","30RGrand586.1",1986-10-02,"Catostomus commersonii",12
"Samp0353","30RGrand586.1",1986-10-02,"Cyprinella lutrensis",30
"Samp0353","30RGrand586.1",1986-10-02,"Gila pandora",3
"Samp0353","30RGrand586.1",1986-10-02,"Pimephales promelas",16
"Samp0353","30RGrand586.1",1986-10-02,"Platygobio gracilis",186
"Samp0353","30RGrand586.1",1986-10-02,"Rhinichthys cataractae",69
"Samp0353","30RGrand586.1",1986-10-02,"Gambusia affinis",32
"Samp0436","32RGrand292.8",1976-08-02,"Carpiodes carpio",1
