"SampleID","StationID","CollDate","TaxaID","N_Taxa"
"Samp9142","FW08CA061",2008-09-12,"Dero",18
"Samp9142","FW08CA061",2008-09-12,"Nais",26
"Samp9142","FW08CA061",2008-09-12,"Pristina",7
"Samp9142","FW08CA061",2008-09-12,"Tubificidae",6
"Samp9142","FW08CA061",2008-09-12,"Turbellaria",5
"Samp9142","FW08CA061",2008-09-12,"Corbicula",14
"Samp9142","FW08CA061",2008-09-12,"Prostoma",1
"Samp9142","FW08CA061",2008-09-12,"Physa",15
"Samp9142","FW08CA061",2008-09-12,"Lebertia",1
"Samp9142","FW08CA061",2008-09-12,"Mideopsis",2
"Samp9142","FW08CA061",2008-09-12,"Hyalella",9
"Samp9142","FW08CA061",2008-09-12,"Centroptilum",7
"Samp9142","FW08CA061",2008-09-12,"Fallceon",2
"Samp9142","FW08CA061",2008-09-12,"Ablabesmyia",14
"Samp9142","FW08CA061",2008-09-12,"Cricotopus/orthocladius",8
"Samp9142","FW08CA061",2008-09-12,"Cryptotendipes",2
"Samp9142","FW08CA061",2008-09-12,"Dicrotendipes",120
"Samp9142","FW08CA061",2008-09-12,"Nanocladius",1
"Samp9142","FW08CA061",2008-09-12,"Paratendipes",1
"Samp9142","FW08CA061",2008-09-12,"Procladius",2
"Samp9142","FW08CA061",2008-09-12,"Tanytarsus",4
"Samp9142","FW08CA061",2008-09-12,"Argia",2
"Samp9142","FW08CA061",2008-09-12,"Coenagrionidae",23
"Samp9142","FW08CA061",2008-09-12,"Dubiraphia",6
"Samp9142","FW08CA061",2008-09-12,"Hydroptila",2
"Samp9142","FW08CA061",2008-09-12,"Oxyethira",1
"Samp9142","FW08CA061",2008-09-12,"Nectopsyche",1
"Samp9143","FW08CO033",2009-09-15,"Cambarincolidae",1
"Samp9143","FW08CO033",2009-09-15,"Ferrissia",1
"Samp9143","FW08CO033",2009-09-15,"Cambaridae",1
"Samp9143","FW08CO033",2009-09-15,"Orconectes",1
"Samp9143","FW08CO033",2009-09-15,"Acentrella",2
"Samp9143","FW08CO033",2009-09-15,"Baetis",4
"Samp9143","FW08CO033",2009-09-15,"Fallceon",1
"Samp9143","FW08CO033",2009-09-15,"Cricotopus/orthocladius",3
"Samp9143","FW08CO033",2009-09-15,"Lopescladius",7
"Samp9143","FW08CO033",2009-09-15,"Microtendipes",1
"Samp9143","FW08CO033",2009-09-15,"Paralauterborniella",1
"Samp9143","FW08CO033",2009-09-15,"Polypedilum",1
"Samp9143","FW08CO033",2009-09-15,"Saetheria",1
"Samp9143","FW08CO033",2009-09-15,"Stempellinella",1
"Samp9143","FW08CO033",2009-09-15,"Empididae",1
"Samp9143","FW08CO033",2009-09-15,"Glossosoma",4
"Samp9143","FW08CO033",2009-09-15,"Ophiogomphus",2
"Samp9143","FW08CO033",2009-09-15,"Heptageniidae",1
"Samp9143","FW08CO033",2009-09-15,"Cheumatopsyche",2
"Samp9143","FW08CO033",2009-09-15,"Hydropsyche",4
"Samp9143","FW08CO033",2009-09-15,"Hydroptila",1
"Samp9143","FW08CO033",2009-09-15,"Nectopsyche",2
"Samp9143","FW08CO033",2009-09-15,"Oecetis",1
"Samp9143","FW08CO033",2009-09-15,"Tricorythodes",28
"Samp9143","FW08CO033",2009-09-15,"Leptophlebia",1
"Samp9154","FW08NE021",2008-08-14,"Lymnaeidae",1
"Samp9154","FW08NE021",2008-08-14,"Cambaridae",7
"Samp9154","FW08NE021",2008-08-14,"Hyalella",1
"Samp9154","FW08NE021",2008-08-14,"Isonychia",8
"Samp9154","FW08NE021",2008-08-14,"Tricorythodes",4
"Samp9160","FW08NE046",2009-06-08,"Physa",2
"Samp9160","FW08NE046",2009-06-08,"Callibaetis",8
"Samp9160","FW08NE046",2009-06-08,"Ceratopogoninae",1
"Samp9160","FW08NE046",2009-06-08,"Chironomus",8
"Samp9160","FW08NE046",2009-06-08,"Cladotanytarsus",1
"Samp9160","FW08NE046",2009-06-08,"Cryptochironomus",1
"Samp9160","FW08NE046",2009-06-08,"Dicrotendipes",1
"Samp9160","FW08NE046",2009-06-08,"Tropisternus",2
"Samp9162","FW08OK014",2008-08-18,"Dasyhelea",1
"Samp9162","FW08OK014",2008-08-18,"Polypedilum",1
"Samp9162","FW08OK014",2008-08-18,"Rheotanytarsus",1
